,ask,bid,time,med
BTCUSD,57216.22,57201.79,2021-11-22 11:03:04.504596,57209.005000000005
,ask,bid,time,med
BTCUSD,57227.22,57210.79,2021-11-22 11:03:12.965954,57219.005000000005
,ask,bid,time,med
BTCUSD,57243.22,57225.29,2021-11-22 11:03:21.417692,57234.255000000005
,ask,bid,time,med
BTCUSD,57243.22,57225.29,2021-11-22 11:03:30.498294,57234.255000000005
,ask,bid,time,med
BTCUSD,57243.22,57228.29,2021-11-22 11:03:35.710346,57235.755000000005
,ask,bid,time,med
BTCUSD,57217.22,57202.29,2021-11-22 11:03:44.248563,57209.755000000005
,ask,bid,time,med
BTCUSD,57212.22,57197.79,2021-11-22 11:03:50.204280,57205.005000000005
,ask,bid,time,med
BTCUSD,57212.22,57197.79,2021-11-22 11:03:57.646673,57205.005000000005
,ask,bid,time,med
BTCUSD,57216.22,57204.29,2021-11-22 11:04:00.919995,57210.255000000005
,ask,bid,time,med
BTCUSD,57228.22,57215.79,2021-11-22 11:04:09.590622,57222.005000000005
,ask,bid,time,med
BTCUSD,57215.72,57202.79,2021-11-22 11:04:18.863275,57209.255000000005
,ask,bid,time,med
BTCUSD,57215.72,57202.79,2021-11-22 11:04:24.625831,57209.255000000005
,ask,bid,time,med
BTCUSD,57219.22,57206.29,2021-11-22 11:04:29.784582,57212.755000000005
,ask,bid,time,med
BTCUSD,57214.22,57201.29,2021-11-22 11:04:36.908702,57207.755000000005
,ask,bid,time,med
BTCUSD,57177.33,57163.18,2021-11-22 11:04:44.909741,57170.255000000005
,ask,bid,time,med
BTCUSD,57180.4,57166.11,2021-11-22 11:04:51.725852,57173.255000000005
,ask,bid,time,med
BTCUSD,57173.4,57159.61,2021-11-22 11:04:57.957106,57166.505000000005
,ask,bid,time,med
BTCUSD,57162.01,57143.0,2021-11-22 11:05:03.413865,57152.505000000005
,ask,bid,time,med
BTCUSD,57178.51,57165.0,2021-11-22 11:05:09.837635,57171.755000000005
,ask,bid,time,med
BTCUSD,57160.62,57146.89,2021-11-22 11:05:19.127762,57153.755000000005
,ask,bid,time,med
BTCUSD,57150.64,57129.37,2021-11-22 11:05:28.047890,57140.005000000005
,ask,bid,time,med
BTCUSD,57128.93,57112.58,2021-11-22 11:05:32.161657,57120.755000000005
,ask,bid,time,med
BTCUSD,57095.16,57074.85,2021-11-22 11:05:40.850159,57085.005000000005
,ask,bid,time,med
BTCUSD,57080.85,57062.66,2021-11-22 11:05:45.110942,57071.755000000005
,ask,bid,time,med
BTCUSD,57100.35,57069.66,2021-11-22 11:06:02.610795,57085.005000000005
,ask,bid,time,med
BTCUSD,57083.35,57052.66,2021-11-22 11:06:08.638828,57068.005000000005
,ask,bid,time,med
BTCUSD,57064.35,57036.16,2021-11-22 11:06:12.481640,57050.255000000005
,ask,bid,time,med
BTCUSD,57043.85,57021.66,2021-11-22 11:06:17.897367,57032.755000000005
,ask,bid,time,med
BTCUSD,57059.16,57037.35,2021-11-22 11:06:25.592012,57048.255000000005
,ask,bid,time,med
BTCUSD,57046.42,57032.09,2021-11-22 11:06:29.552552,57039.255
,ask,bid,time,med
BTCUSD,57062.42,57045.59,2021-11-22 11:06:39.568861,57054.005
,ask,bid,time,med
BTCUSD,57052.42,57031.09,2021-11-22 11:06:45.846489,57041.755
,ask,bid,time,med
BTCUSD,57054.85,57033.66,2021-11-22 11:06:53.909155,57044.255000000005
,ask,bid,time,med
BTCUSD,57059.82,57040.69,2021-11-22 11:06:57.406302,57050.255000000005
,ask,bid,time,med
BTCUSD,57069.82,57048.69,2021-11-22 11:07:08.136816,57059.255000000005
,ask,bid,time,med
BTCUSD,57091.32,57066.19,2021-11-22 11:07:10.971170,57078.755000000005
,ask,bid,time,med
BTCUSD,57123.32,57094.69,2021-11-22 11:07:20.753526,57109.005000000005
,ask,bid,time,med
BTCUSD,57084.82,57066.69,2021-11-22 11:07:27.140326,57075.755000000005
,ask,bid,time,med
BTCUSD,57100.82,57072.19,2021-11-22 11:07:31.439473,57086.505000000005
,ask,bid,time,med
BTCUSD,57116.82,57095.19,2021-11-22 11:07:38.176100,57106.005000000005
,ask,bid,time,med
BTCUSD,57129.32,57109.69,2021-11-22 11:07:46.467448,57119.505000000005
,ask,bid,time,med
