,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:03:02.473331,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:03:12.013426,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:03:19.901772,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:03:24.798403,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:03:34.880306,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:03:42.168828,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:03:50.740276,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:03:58.409675,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:03.246164,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:10.776623,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:19.037275,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:21.573948,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:32.904402,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:39.192049,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:45.504738,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:52.493980,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:04:57.556541,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:05:03.533866,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:05:10.517819,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:05:18.614650,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:05:22.567690,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:05:30.314711,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:05:41.774158,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:05:47.433189,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:01.210216,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:05.822734,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:12.740637,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:18.374366,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:24.639011,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:30.127552,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:39.223860,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:42.430464,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:06:53.534302,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:01.562175,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:05.058881,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:11.681189,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:18.301352,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:25.453611,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:32.741999,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:40.956880,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:44.101401,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:53.641072,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:07:58.616120,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:08:05.390525,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:08:14.009825,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:08:20.722435,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:08:28.673919,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:08:35.871677,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:08:42.570441,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:08:50.435389,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:08:57.492360,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:03.742244,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:10.538672,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:17.024726,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:25.094090,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:31.976149,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:38.526086,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:44.528462,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:54.073437,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:09:57.602816,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:10:08.699758,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:10:16.835573,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:10:23.165846,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:10:28.764249,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:10:36.334094,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:10:43.816640,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:10:56.362661,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:11:00.235575,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:11:09.775505,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:11:17.598553,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:11:25.142295,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:11:33.388989,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:11:41.329080,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:11:48.842183,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:11:55.278034,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:03.591243,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:07.776113,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:12.780644,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:19.297096,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:26.777007,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:37.512226,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:40.995943,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:47.348348,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:12:55.701665,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:13:01.901629,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:13:12.740595,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:13:18.270682,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:13:22.601557,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:13:33.239261,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:13:40.966942,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:13:44.351492,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:13:56.920176,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:00.132758,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:05.949484,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:12.893240,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:20.935789,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:28.965772,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:32.134039,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:38.990377,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:48.729019,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:14:54.939067,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:01.465694,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:05.331395,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:15.037908,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:20.473492,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:28.068306,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:31.864676,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:37.545110,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:44.407404,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:51.602813,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:15:59.056969,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:03.219621,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:13.515331,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:17.454730,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:25.623583,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:31.689478,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:35.826942,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:44.892471,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:53.447090,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:16:57.107028,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:02.095374,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:14.174248,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:20.109283,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:27.725850,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:32.153524,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:38.572389,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:46.735105,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:53.898311,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:17:59.437495,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:18:10.767547,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:18:18.137541,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:18:23.709257,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:18:28.691124,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:18:39.675484,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:18:46.586767,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:18:53.385172,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:18:59.250441,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:19:08.740304,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:19:16.088027,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:19:25.808039,200.06
,ask,bid,time,med
V,200.16,199.96,2021-11-22 11:19:31.695610,200.06
,ask,bid,time,med
