,ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
0,10407720,0,2021-09-07 12:00:10,1631016010909,2,0,0,0,0,0.0,0.0,0.0,0.0,20000.0,0.0,,Deposit,
1,13798074,16160874,2021-10-11 10:33:36,1633948416605,0,0,9986989,16160874,3,0.04,1.24509,-0.05,0.0,0.0,0.0,USDCAD,Python AADI M3,
2,13798145,16160947,2021-10-11 10:34:07,1633948447335,1,0,9986989,16160947,3,0.04,78.317,-0.05,0.0,0.0,0.0,NZDJPY,Python AADI M3,
3,13798335,16161148,2021-10-11 10:36:18,1633948578552,0,0,9986989,16161148,3,0.04,1.2452,-0.05,0.0,0.0,0.0,USDCAD,Python AADI M3,
4,13798372,16161184,2021-10-11 10:36:43,1633948603850,1,0,9986989,16161184,3,0.04,78.304,-0.05,0.0,0.0,0.0,NZDJPY,Python AADI M3,
5,13798702,16161519,2021-10-11 10:38:53,1633948733364,0,0,9986989,16161519,3,0.04,1.24522,-0.05,0.0,0.0,0.0,USDCAD,Python AADI M3,
6,13798834,16161651,2021-10-11 10:39:40,1633948780625,1,0,9986989,16161651,3,0.04,78.295,-0.05,0.0,0.0,0.0,NZDJPY,Python AADI M3,
7,13799275,16162099,2021-10-11 10:41:52,1633948912312,0,0,9986989,16162099,3,0.04,1.24617,-0.05,0.0,0.0,0.0,USDCAD,Python AADI M3,
8,13800447,16163314,2021-10-11 10:49:52,1633949392968,1,0,9986989,16163314,3,0.04,78.316,-0.05,0.0,0.0,0.0,NZDJPY,Python AADI M3,
9,13802960,16165916,2021-10-11 11:05:02,1633950302053,0,0,9986989,16165916,3,0.16,1.24476,-0.21,0.0,0.0,0.0,USDCAD,Python AADI M15,
10,13803576,16166578,2021-10-11 11:11:12,1633950672303,0,1,234000,16161651,3,0.04,78.455,-0.05,0.0,-4.9,0.0,NZDJPY,python script cl,
11,13803592,16166593,2021-10-11 11:11:14,1633950674588,0,1,234000,16161184,3,0.04,78.462,-0.05,0.0,-4.84,0.0,NZDJPY,python script cl,
12,13803680,16166683,2021-10-11 11:11:58,1633950718079,0,1,234000,16160947,3,0.04,78.476,-0.05,0.0,-4.87,0.0,NZDJPY,python script cl,
13,13803681,16166684,2021-10-11 11:11:58,1633950718376,0,1,234000,16163314,3,0.04,78.474,-0.05,0.0,-4.84,0.0,NZDJPY,python script cl,
14,13803926,16166963,2021-10-11 11:15:02,1633950902716,1,0,9986989,16166963,3,0.04,78.428,-0.05,0.0,0.0,0.0,NZDJPY,Python AADI M3,
15,13804233,16167281,2021-10-11 11:17:36,1633951056744,1,0,9986989,16167281,3,0.04,78.432,-0.05,0.0,0.0,0.0,NZDJPY,Python AADI M3,
16,13804710,16167772,2021-10-11 11:20:29,1633951229663,0,0,9986989,16167772,3,0.16,1.24577,-0.21,0.0,0.0,0.0,USDCAD,Python AADI M15,
17,13805489,16168568,2021-10-11 11:23:52,1633951432428,1,1,234000,16160874,3,0.02,1.24641,-0.03,0.0,1.83,0.0,USDCAD,python Split,
18,13805491,16168570,2021-10-11 11:23:52,1633951432650,1,1,234000,16161148,3,0.02,1.24641,-0.03,0.0,1.6800000000000002,0.0,USDCAD,python Split,
19,13805492,16168571,2021-10-11 11:23:52,1633951432973,1,1,234000,16161519,3,0.02,1.24641,-0.03,0.0,1.65,0.0,USDCAD,python Split,
