,ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
0,10291757,0,2021-09-03 22:30:02,1630708202928,2,0,0,0,0,0.0,0.0,0.0,0.0,20000.0,0.0,,Deposit,
1,11423411,13644221,2021-09-17 18:04:08,1631901848371,0,0,9986989,13644221,3,0.04,0.70355,-0.05,0.0,0.0,0.0,NZDUSD,Python AADI M3,
2,11423649,13644460,2021-09-17 18:06:12,1631901972916,0,0,9986989,13644460,3,0.04,0.72712,-0.05,0.0,0.0,0.0,AUDUSD,Python AADI M3,
3,11423694,13644509,2021-09-17 18:06:37,1631901997853,1,0,9986989,13644509,3,0.04,0.89693,-0.05,0.0,0.0,0.0,NZDCAD,Python AADI M3,
4,11423707,13644522,2021-09-17 18:06:43,1631902003028,0,0,9986989,13644522,3,0.04,0.70362,-0.05,0.0,0.0,0.0,NZDUSD,Python AADI M3,
5,11423923,13644742,2021-09-17 18:08:47,1631902127940,0,0,9986989,13644742,3,0.04,0.72712,-0.05,0.0,0.0,0.0,AUDUSD,Python AADI M3,
6,11423968,13644788,2021-09-17 18:09:17,1631902157851,1,0,9986989,13644788,3,0.04,0.89734,-0.05,0.0,0.0,0.0,NZDCAD,Python AADI M3,
7,11423979,13644799,2021-09-17 18:09:22,1631902162868,0,0,9986989,13644799,3,0.04,0.70371,-0.05,0.0,0.0,0.0,NZDUSD,Python AADI M3,
8,11424345,13645163,2021-09-17 18:11:28,1631902288091,0,0,9986989,13645163,3,0.04,0.72674,-0.05,0.0,0.0,0.0,AUDUSD,Python AADI M3,
9,11424413,13645232,2021-09-17 18:11:57,1631902317091,1,0,9986989,13645232,3,0.04,0.8975,-0.05,0.0,0.0,0.0,NZDCAD,Python AADI M3,
10,11424434,13645253,2021-09-17 18:12:03,1631902323619,0,0,9986989,13645253,3,0.04,0.70341,-0.05,0.0,0.0,0.0,NZDUSD,Python AADI M3,
11,11425149,13645982,2021-09-17 18:14:10,1631902450839,0,0,9986989,13645982,3,0.04,0.7271,-0.05,0.0,0.0,0.0,AUDUSD,Python AADI M3,
12,11425307,13646145,2021-09-17 18:14:42,1631902482263,1,0,9986989,13646145,3,0.04,0.89758,-0.05,0.0,0.0,0.0,NZDCAD,Python AADI M3,
13,11425328,13646164,2021-09-17 18:14:46,1631902486599,1,1,234000,13645163,3,0.02,0.72735,-0.03,0.0,1.04,0.0,AUDUSD,python Split,
14,11425330,13646166,2021-09-17 18:14:47,1631902487702,0,0,9986989,13646166,3,0.04,0.70401,-0.05,0.0,0.0,0.0,NZDUSD,Python AADI M3,
15,11425338,13646174,2021-09-17 18:14:49,1631902489545,1,1,234000,13645253,3,0.02,0.70399,-0.03,0.0,0.99,0.0,NZDUSD,python Split,
16,11425597,13646445,2021-09-17 18:15:42,1631902542839,1,1,234000,13644221,3,0.02,0.70418,-0.03,0.0,1.07,0.0,NZDUSD,python Split,
17,11425616,13646464,2021-09-17 18:15:44,1631902544703,1,1,234000,13644522,3,0.02,0.70418,-0.03,0.0,0.95,0.0,NZDUSD,python Split,
18,11425828,13646684,2021-09-17 18:16:53,1631902613892,0,0,9986989,13646684,3,0.04,0.72711,-0.05,0.0,0.0,0.0,AUDUSD,Python AADI M3,
19,11425950,13646805,2021-09-17 18:17:21,1631902641875,1,0,9986989,13646805,3,0.04,0.89774,-0.05,0.0,0.0,0.0,NZDCAD,Python AADI M3,
20,11426205,13647067,2021-09-17 18:20:00,1631902800067,1,0,9986989,13647067,3,0.04,0.89757,-0.05,0.0,0.0,0.0,NZDCAD,Python AADI M3,
21,11426322,13647186,2021-09-17 18:20:18,1631902818370,1,1,234000,13644799,3,0.02,0.70428,-0.03,0.0,0.97,0.0,NZDUSD,python Split,
22,11426368,13647233,2021-09-17 18:20:33,1631902833220,1,1,234000,13644460,3,0.02,0.72775,-0.03,0.0,1.07,0.0,AUDUSD,python Split,
23,11426370,13647235,2021-09-17 18:20:33,1631902833927,1,1,234000,13644742,3,0.02,0.72775,-0.03,0.0,1.07,0.0,AUDUSD,python Split,
24,11426372,13647237,2021-09-17 18:20:34,1631902834197,1,1,234000,13645982,3,0.02,0.72775,-0.03,0.0,1.11,0.0,AUDUSD,python Split,
