symbol,type,comment,profit,fee,0
NZDJPY,1,Renf,0.0,0.0,211
USDCAD,0,Renf,0.0,0.0,120
XAUUSD,1,Python AADI M3,0.0,0.0,83
CADJPY,1,Python AADI M3,0.0,0.0,80
NZDJPY,1,Python AADI M3,0.0,0.0,76
NZDCAD,1,Python AADI M3,0.0,0.0,66
UKOIL.cash,1,Scalp CFD,0.0,0.0,45
AUDJPY,1,Python AADI M3,0.0,0.0,40
USDCHF,0,Python AADI M3,0.0,0.0,39
CADJPY,1,Renf,0.0,0.0,39
AUDNZD,0,Python AADI M3,0.0,0.0,37
USDJPY,0,Python AADI M3,0.0,0.0,34
NZDUSD,1,Python AADI M3,0.0,0.0,33
AUDUSD,0,Python AADI M3,0.0,0.0,32
NZDCAD,1,Renf,0.0,0.0,28
USDCHF,0,Python AADI M15,0.0,0.0,22
AUDCAD,0,Python AADI M3,0.0,0.0,21
NZDJPY,0,python Split,0.12,0.0,21
NZDJPY,1,Python AADI M15,0.0,0.0,18
US500.cash,0,Scalp CFD,0.0,0.0,18
USDCAD,0,Python AADI M3,0.0,0.0,17
USDCHF,1,python Split,2.59,0.0,17
AUDUSD,0,Python AADI M15,0.0,0.0,17
NZDJPY,0,python Split,0.13,0.0,15
CADJPY,1,Python AADI M15,0.0,0.0,15
USDCAD,0,Python AADI M15,0.0,0.0,15
AUDNZD,0,Renf Split,0.0,0.0,14
XAUUSD,1,Python AADI M15,0.0,0.0,14
NZDJPY,0,python Split,0.6,0.0,12
NZDJPY,0,python Split,0.62,0.0,12
US30.cash,0,Scalp CFD,0.0,0.0,12
NZDJPY,0,python Split,0.59,0.0,11
UKOIL.cash,0,Scalp CFD,0.0,0.0,11
NZDUSD,0,Python AADI M3,0.0,0.0,10
NZDJPY,0,python Split,0.15,0.0,10
USDCHF,0,Renf Split,0.0,0.0,10
XAUUSD,0,Renf,0.0,0.0,10
UKOIL.cash,1,Python AADI M15,0.0,0.0,10
CADJPY,0,python Split,0.69,0.0,9
NZDJPY,0,python Split,0.14,0.0,9
NZDCAD,1,Python AADI M15,0.0,0.0,8
NZDCAD,0,python Split,0.31,0.0,8
AUDNZD,1,python Split,0.99,0.0,8
